20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_babyshark.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_backdoor_ssh_python.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_backdoor_sunburst_fnv1a_experimental.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_backspace.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_barracuda_esg_unc4841_jun23.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_beepservice.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_between-hk-and-burma.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_bigbang.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_bitter.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_blackenergy.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_blackenergy_installer.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_bluetermite_emdivi.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_bronze_butler.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_buckeye.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_camaro_dragon_oct23.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_candiru.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_carbon_paper_turla.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_casper.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cheshirecat.yar
